Order:  кофе доппио молочный коктейль банановый два сока апельсиновых 5 макарун с ванилью 5 макарон с шоколадом и 5 макарон с малиной два лосося в соусе бийск три пакета с картофелем и salsa verde суп минестроне тыквенный крем-суп и томатный суп 

Dish: кофе допио | qty: 1
Dish: молочный коктейль банановый | qty: 1
Dish: сок апельсиновый | qty: два
Dish: макаруны ваниль | qty: 5
Dish: макаруны шоколад | qty: 5
Dish: макаруны малина | qty: 5
Dish: лосось в соусе биск | qty: два
Dish: поркетта с картофелем и сальса верде | qty: три
Dish: минестроне | qty: 1
Dish: тыквенный крем суп | qty: 1
Dish: сок томатный | qty: 1
